Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TB6Ag_D560_RM5,0.057090097,0.05393028,0,0.09174739,0.045565606,0.028417277,0.12354962,0,0,0,0.128479448,0,0.376815829,0.014676822,0,0,0,0.003251715,0,0.031913271,0,0.044562646,0,0.445921561,0.89521413
TB6Ag_D560_RM8,0.064155622,0.066232352,0,0.073384602,0.259720702,0.074351982,0.087982168,0,0,0,0.153419028,0,0.104095409,0.017070344,0,0.009512108,0,2.49E-05,0,0.022702689,0,0.067348069,0,0.341811718,0.95459448
TB6Ag_D560_RM9,0.021488195,0.05897868,0.006546738,0.106512593,0.091386673,0.007740877,0.17197956,0,0,0,0.194441941,0,0.149496141,0.022714305,0,0,0,0.000654427,0,0.021587034,0,0.146472836,0,0.363243078,0.93983424
pp71_D560_RM20,0.040308568,0.080461065,0.005988811,0.046162249,0.14408085,0.117451073,0.098915392,0,0,0,0.139194179,0,0.172277955,0.043885658,0,0.000171238,0,0,0,0,0,0.111102962,0,0.415286908,0.911426523
pp71_D560_RM13,0.031490116,0.134052539,0,0.106370901,0.170199968,0.075966731,0.165303751,0,0,0,0.176527012,0,0.076600302,0.003718743,0,0.014654312,0,0.00093796,0,0.004073652,0,0.040104014,0,0.367887092,0.942045902
pp71_D560_RM14,0.023189348,0.124289323,0.005318361,0.080447134,0.072036298,0.058647653,0.130037085,0,0,0,0.135894647,0,0.063023807,0.05573524,0,0.030589704,0,0,0,0.048993315,0,0.171798084,0,0.360522717,0.937589509
pp71_D560_RM15,0.039669941,0.032822241,0.004543154,0.056270443,0.124918491,0.034572506,0.170007105,0,0,0,0.151146905,0,0.143345661,0.058598049,0,0,0,0,0,0.042550386,0,0.141555117,0,0.33876279,0.948593593
pp71_D560_RM16,0.006763113,0.044266843,0.01035906,0.158719373,0.150141055,0,0.21876976,0,0,0,0.235030071,0,0.093109048,0.004533166,0,0,0.002683255,0.0017565,0,0.017908777,0,0.055959978,0,0.355960024,0.951668936
pp71_D560_RM18,0,0.109800363,0.005343089,0.055039877,0.160255196,0.03884697,0.073658272,0,0,0,0.11402162,0,0.056151663,0.084192634,0,0.008409025,0,0,0.002613831,0,0,0.291667461,0,0.398513995,0.926544531
pp71_D560_RM19,0,0.044638975,0.064255961,0.08758683,0.051637414,0.031283956,0.140952715,0,0,0,0.107690279,0,0.136743543,0.077142487,0,0.006417139,0,0,0,0.033270714,0,0.218379986,0,0.394340284,0.921855725
pp71_D560_RM17,0,0.073578763,0.011647055,0.032782794,0.078794603,0.091456082,0.086996884,0,0,0,0.109297851,0,0.132260512,0.142977849,0,0,0,0,0,0,0,0.240207606,0,0.388336342,0.929563939
TB6Ag_D743_RM10,0,0.221901888,0.00831509,0.058555876,0.101803939,0.130306991,0.142595734,0,0,0,0.186220036,0,0.088132269,0.011577544,0,0,0,0.001794914,0,0,0,0.048795719,0,0.417891915,0.912695653
TB6Ag_D743_RM11,3.72E-05,0.120521851,0.011698731,0.011319634,0.160311056,0.110217126,0.19505395,0,0,0,0.174229959,0,0.037675364,0.016441541,0.000104025,0,0.00887177,0.001594166,0,0,0.007189552,0.144734028,0,0.3531438,0.945555036
TB6Ag_D743_RM12,0.03987802,0.059153608,0.006933585,0.148732279,0.126642357,0.019955543,0.183319241,0,0,0,0.202769153,0,0.078375911,0.008845986,0,0.021890015,0,0.001632932,0,0.011218956,0,0.090652413,0,0.291909226,0.98073159
TB6Ag_D743_RM3,0.000935355,0.130253331,0.009492752,0.050269604,0.045612064,0.120035413,0.065707837,0,0,0,0.097583093,0,0.080227895,0.099825656,0,0,0,0,0,0.000577386,0,0.299479615,0,0.404797021,0.923738856
